faculty_id,name,institution_id,google_scholar_id
menard_julie,Julie Ménard,uqam,Na2bOIwAAAAJ
meunier_sophie,Sophie Meunier,uqam,
schattke_kaspar,Kaspar Philipp Schattke,uqam,lrRVSy0AAAAJ
provostsavard_yanick,Yanick Provost Savard,uqam,DbEZmbMAAAAJ
daljeet_kabir,Kabir N. Daljeet,umontreal,n_P4qEIAAAAJ
boivin_mariepier,Marie-Pier Boivin,umontreal,SfcRq7IAAAAJ
boudrias_jeansebastien,Jean-Sébastien Boudrias,umontreal,y8FyEb4AAAAJ
graditodubord_marcantoine,Marc-Antoine Gradito Dubord,umontreal,mdc1uSUAAAAJ
grenier_simon,Simon Grenier,umontreal,1Ny4r2MAAAAJ
paquet_maxime,Maxime Paquet,umontreal,
kwantes_catherine,Catherine T. Kwantes,windsor,bH3gHM8AAAAJ
chungyan_greg,Greg A. Chung-Yan,windsor,tpS0JC4AAAAJ
day_arla,Arla L. Day,smu,8PBf9psAAAAJ
gilin_debra,Debra Gilin,smu,MhSWUxUAAAAJ
holmvall_camilla,Camilla M. Holmvall,smu,ZiTK7RgAAAAJ
kocum_lucie,Lucie Kocum,smu,W2qysFUAAAAJ
lukacik_edenraye,Eden-Raye Lukacik,smu,DNa_9JIAAAAJ
roulin_nicolas,Nicolas Roulin,smu,SM-FgnMAAAAJ
fleming_mark,Mark Fleming,smu,
benson_alex,Alex J. Benson,western,ey9Rd5YAAAAJ
espinoza_jose,Jose A. Espinoza,western,i5sc9xwAAAAJ
evans_blair,M. Blair Evans,western,htD1_KIAAAAJ
meyer_john,John P. Meyer,western,YUHwYTAAAAAJ
siuta_rose,Rose L. Siuta,uakron,
thorntonlugo_meghan,Meghan A. Thornton-Lugo,uakron,iv8X37AAAAAJ
snell_andrea,Andrea F. Snell,uakron,W39kP8YAAAAJ
grandey_alicia,Alicia A. Grandey,psu,TYnFrXMAAAAJ
brooks_ricardo,Ricardo R. Brooks,psu,Pi2a1hkAAAAJ
graham_baylor,Baylor A. Graham,psu,3_-_jfIAAAAJ
simkins_susan,Susan J. Simkins,psu,jHzOVXYAAAAJ
lee_kibeom,Kibeom Lee,calgary,
murry_adam,Adam T. Murry,calgary,xqiCRnIAAAAJ
kaplan_seth,Seth A. Kaplan,gmu,Qlhi2hEAAAAJ
kuykendall_lauren,Lauren E. Kuykendall,gmu,w1u2dLoAAAAJ
lee_philseok,Philseok Lee,gmu,aNGET7sAAAAJ
liang_yijue,Yijue Liang,gmu,HRORhnAAAAAJ
rupp_deborah,Deborah E. Rupp,gmu,ioOrO_MAAAAJ
clark_malissa,Malissa A. Clark,uga,WqcFrlsAAAAJ
he_yimin,Yimin He,uga,ECRFCggAAAAJ
robertson_melissa,Melissa M. Robertson,uga,GxOOhMwAAAAJ
bergman_mindy,Mindy E. Bergman,tamu,G-AO9gsAAAAJ
hughes_ian,Ian M. Hughes,tamu,GynUkBgAAAAJ
zhu_ze,Ze (Mia) Zhu,tamu,nHECmAQAAAAJ
barratt_clare,Clare L. Barratt,bgsu,MLDrYREAAAAJ
mcabee_samuel,Samuel T. McAbee,bgsu,JKCK2p0AAAAJ
keith_melissa,Melissa G. Keith,bgsu,ix0bMCcAAAAJ
zhang_bo,Bo Zhang,uiuc,S4qQ-3AAAAAJ
min_hanyi,Hanyi Min,uiuc,WhlHwoEAAAAJ
alexander_leo,Leo Alexander III,uiuc,oNYBNlcAAAAJ
calderwood_charles,Charles Calderwood,vt,yIMzglsAAAAJ
hernandez_ivan,Ivan Hernandez,vt,ANFTuKYAAAAJ
hickman_louis,Louis Hickman,vt,wluq3hgRc10C
hsu_ning,Ning Hsu,vt,PpNCyiwAAAAJ
melsonsilimon_arturia,Arturia Melson-Silimon,vt,UZ_ImyQAAAAJ
carver_sarah,Sarah J. Carver,guelph,i7T9I6AAAAAJ
gill_harjinder,Harjinder Gill,guelph,0hrcjSkAAAAJ
spence_jeffrey,Jeffrey R. Spence,guelph,HeyarCAAAAAJ
stanley_david,David J. Stanley,guelph,krwVUm4AAAAJ
reichin_sydney,Sydney L. Reichin,ncsu,X-RXoNwAAAAJ
mcchesney_jenna,Jenna McChesney,ncsu,ufCRd2YAAAAJ
